m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M242,2,"1. Red ochre, umber, chalk, a little lead white
2. Lead white, brown ochre, umber, a little red ochre and charcoal black",R-G,,,,R,"Red ochre, umber, chalk, lead white",G,"Lead white, brown ochre, red ochre, charcoal black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M243,2,"1. Red ochre, chalk, little umber, very little black
2. Lead white, chalk, coardse charcoal black, little ochre and umber",R-G,,,,R,"Red ochre, chalk, umber, black",G,"Lead white, chalk, charcoal black, ochre, umber",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M244,1,"1. Quartz, kaolinite, mica, red ochre, a little chalk",Br,,,,Br,"Quartz, kaolinite, mica, red ochre, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Interesting first ground- hematite and smalt!
M245,2,"1. Red (hematite), a little Fe-silicates, smalt, calcite
2. Lead white, chalk, charcoal black",R-G,,,,R,"Hematite, iron silicates, smalt, calcite",G,"Lead white, chalk, charcoal black",,,G,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M246,1,"1. Lead white, umber, a little yellow ochre",Br,,,,Br,"Lead white, umber, yellow ochre",,,,,Br,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M247,1,"1. Quartz, clay minerals, ilmenite, a little umber, red ochre, a little chalk",Br,,,,Br,"Quartz, clay minerals, ilmenite, umber, red ochre,  chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M248,1,"1. Quartz, clay minerals, ilmenite, a little brown ochre, red ochre, chalk",Br,,,,Br,"Quartz, clay minerals, ilmenite, brown ochre, red ochre, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M249,2,"1. Red earth, umber
2. Lead white, chalk, charcoal black, brown ochre",R-Br,,,,R,"Red earth, umber",Br,"Lead white, chalk, charcoal black, brown ochre",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground?
M250,1,"1. Brown ochre, umber, quartz, bone black, lead white, chalk",Br,,,,Br,"Brown ochre, umber, quartz, bone black, lead white, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M251,1,1. Quartz,Y,,,,Y,Quartz,,,,,Y,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M252,2,"1. Red ochre, a little umber (high Si)
2. Lead white, umber, a little black",R-G,,,,R,"Red ochre, umber",G,"Lead white, umber, black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M253,2,"1. Orange-red earth
2. Brown ochre, umber, charcoal black, chalk, a little lead white",R-Br,,,,R,Orange-red earth,Br,"Brown ochre, umber, charcoal black, chalk, lead white",,,Br,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M254,2,"1. Red earth (high Si = quartz, little yellow-brown ochre)
2. Lead white, umber, charcoal black",R-Br,,,,R,Red earth,Br,"Lead white, umber, charcoal black",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M255,2,"1. Red earth
2. Lead white, a little chalk, bone black, brown and yellow ochre, umber",R-Br,,,,R,Red earth,Br,"Lead white, chalk, bone black, brown and yellow ochre, umber",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M256,2,"1. Red ochre
2. Lead white, charcoal black, a little brown ochre",R-G,,,,R,Red ochre,G,"Lead white, charcoal black, brown ochre",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M257,1,"1. Quartz, clay minerals, a little brown earth, chalk",Br,,,,Br,"Quartz, clay minerals, a little brown earth, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M258,1,"1. Quartz (alpha silica), a little brown ochre, lead white and calcite",Br,,,,Br,"Quartz, brown ochre, lead white, calcite",,,,,Br,1,,,,,,,,,"Brown, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"Yellow or brown? What does ""yellowish"" mean?"
M259,2,"1. Red earth
2. Lead white, a little brown ochre",R-LBr,,,,R,Red earth,LBr,"Lead white, brown ochre",,,LBr,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M260,1,1. Chalk,LY,,,,LY,Calcium carbonate (chalk),,,,,LY,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground?
M261,1,"1. Lead white, umber, a little yellow and red ochre, quartz",Br,,,,Br,"Lead white, umber, yellow and red ochre, quartz",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M262,2,"1. Red earth, chalk
2. Lead white, brown ochre, bone black",R-G,,,,R,"Red earth, chalk",G,"Lead white, brown ochre, bone black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Red bole? Does he just mean red earth
M263,2,"1. Red bole, a little quartz and lead white
2. Lead white, charcoal black",R-G,,,,R,"Red bole, quartz, lead white",G,"Lead white, charcoal black",,,G,2,,,,,,,,,"Burmester, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M264,1,"1. Quartz, a little ochre",Br,,,,Br,"Quartz, ochre",,,,,Br,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M265,2,"1. Red earth
2. Lead white, chalk (?), a little charcoal black and yellow ochre",R-G,,,,R,Red earth,G,"Lead white, chalk, charcoal black, yellow ochre",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M266,2,"1. Red ochre, umber
2. Lead white, brown ochre, charcoal black",R-Br,,,,R,"Red ochre, umber",Br,"Lead white, brown ochre, charcoal black",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M267,2,"1. Red earth, umber, K-AL-silicates, chalk
2. Lead white, umber, bone black",R-G,,,,R,"Red earth, umber, aluminosilicates, chalk",G,"Lead white, umber, bone black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Smalt in second layer? Doesn't say surface appearance
M268,2,"1. Orange-red earth
2. Lead white, a little colourless smalt/glass",LR-LY,,,,LR,Orange-red earth,LY,"Lead white, smalt/glass",,,LY,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M269,2,"1. Red ochre, umber
2. Lead white, brown ochre, carbon black",R-Br,,,,R,"Red ochre, umber",Br,"Lead white, brown ochre, carbon black",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M270,1,"1. Quartz (alpha quartz), clay minerals, ilmenite, iron oxides, a little chalk",Br,,,,Br,"Quartz (alpha quartz), clay minerals, ilmenite, iron oxides, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M271,1,"1. Quartz, a little ochre",Br,,,,Br,"Quartz, ochre",,,,,Br,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Smalt in lower ground
M272,2,"1. Lead white, umber, a little smalt
2. Lead white, umber",Br-Br,,,,Br,"Lead white, umber, smalt",Br,"Lead white, umber",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M273,1,"1. Quartz, brown ochre, a little lead white",Br,,,,Br,"Quartz, brown ochre, lead white",,,,,Br,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M274,1,"1. Quartz, clay minerals (Mg-silicate), a little brown ochre and chalk",Br,,,,Br,"Quartz, clay minerals, brown ochre, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M275,1,"1. Quartz, clay minerals, brown ochre, a little yellow and red ochre and black, ilmenite, a little chalk",Br,,,,Br,"Quartz, clay minerals, brown ochre, yellow and red ochre, black, ilmenite, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M276,2,"1. Red ochre, a little chalk
2. Lead white, charcoal black",R-G,,,,R,"Red ochre, chalk",G,"Lead white, charcoal black",,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M277,1,"1. Chalk, a little lead white and umber",Br,,,,Br,"Chalk, lead white, umber",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M278,2,"1. Orange-red earth
2. Lead white, brown ochre, umber",R-Br,,,,R,Orange-red earth,Br,"Lead white, brown ochre, umber",,,Br,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M279,1,"1. Quartz (alpha quartz), clay minerals, a little yellow ochre, chalk, and ilmenite",Br,,,,Br,"Quartz, clay minerals, yellow ochre, chalk, and ilmenite",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M280,1,"1. Quartz, a little ochre",Y,,,,Y,"Quartz, ochre",,,,,Y,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M281,2,"1. Red earth
2. Lead white, charcoal black, a little earth pigment",R-G,,,,R,Red earth,G,"Lead white, charcoal black, earth",,,G,2,,,,,,,,,"Hours, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M282,2,"1. Red earth, chalk, a little umber (2 layers, top thin, translucent)
2. Lead white, fine bone black, a little umber and yellow ochre",R-G,,,,R,"Red earth, chalk, umber",G,"Lead white, bone black, umber, yellow ochre",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M283,1,"1. Quartz, little red ochre, black, a little chalk",Br,,,,Br,"Quartz, little red ochre, black, a little chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M284,1,"1. Quartz, clay minerals, a little brown earth, very little black, chalk and ilmenite",Br,,,,Br,"Quartz, clay minerals, brown ochre, black, chalk, ilmenite",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M285,2,"1. Red earth, a little black (two layers, rich in Si)
2. Lead white, a little umber and bone black",R-G,,,,R,"Red earth, black, umber",G,"Lead white, umber, bone black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M286,2,"1. Lead white, umber, black
2. Lead white, charcoal, a little umber",G-G,,,,G,"Lead white, umber, black",G,"Lead white, charcoal, umber",,,G,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M287,1,"1. Chalk, very little umber",Y,,,,Y,"Calcium carbonate (chalk), umber",,,,,Y,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M288,1,"1. Quartz (XRD: 70-80%), phyllite, chlorite, sericite, kaolinite, limonite (iron oxide), a little calcite",Br,,,,Br,"Quartz, phyllite, chlorite, sericite, kaolinite, limonite (iron oxide), calcite",,,,,Br,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Need to define browns and greys better
M289,2,"1. Chalk, a little brown ochre
2. Chalk, a little ochre and umber, very little lamp black",Br-G,,,,Br,"Chalk, brown ochre",G,"Chalk, ochre, umber, lamp black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M290,1,"1. Quartz, earth pigments",Br,,,,Br,"Quartz, earth pigments",,,,,Br,2,,,,,,,,,"Payne, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M291,1,"1. Quartz, clay minerals, a little iron oxide, chalk and ilmenite",Br,,,,Br,"Quartz, clay minerals, iron oxide, chalk and ilmenite",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M292,1,"1. Quartz, clay minerals, a little brown ochre and black, a little chalk",Br,,,,Br,"Quartz, clay minerals, brown ochre and black, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M293,1,"1. Quartz, clay minerals, a little brown ochre, very little bone black, chalk ",Br,,,,Br,"Quartz, clay minerals, brown ochre, very little bone black, chalk ",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Cologne earth?
